תאריך,תיאור,אסמכתא,חובה,זכות,יתרה
19/10/2025,BIT - מכירות 18/10/2025 (שבת),BIT4218,,690.00,38041.00
20/10/2025,העברה - מאפיית שמש רונית חשבונית 0738,700011,4510.00,,33531.00
20/10/2025,POS - מכירות 19/10/2025,POS7619,,1170.00,34701.00
20/10/2025,BIT - מכירות 19/10/2025,BIT4219,,240.00,34941.00
21/10/2025,POS - מכירות 20/10/2025,POS7620,,1410.00,36351.00
21/10/2025,BIT - מכירות 20/10/2025,BIT4220,,540.00,36891.00
22/10/2025,העברה - שוק הכרמל אבו חסן ירקות,700012,680.00,,36211.00
22/10/2025,POS - מכירות 21/10/2025,POS7621,,930.00,37141.00
22/10/2025,BIT - מכירות 21/10/2025,BIT4221,,350.00,37491.00
23/10/2025,העברה - רואה חשבון שמואל גולן ספטמבר,700013,1200.00,,36291.00
23/10/2025,POS - מכירות 22/10/2025,POS7622,,1490.00,37781.00
23/10/2025,BIT - מכירות 22/10/2025,BIT4222,,370.00,38151.00
24/10/2025,POS - מכירות 23/10/2025,POS7623,,1350.00,39501.00
24/10/2025,BIT - מכירות 23/10/2025,BIT4223,,640.00,40141.00
25/10/2025,POS - מכירות 24/10/2025 (שישי),POS7624,,2200.00,42341.00
25/10/2025,BIT - מכירות 24/10/2025 (שישי),BIT4224,,1180.00,43521.00
26/10/2025,POS - מכירות 25/10/2025 (שבת),POS7625,,2400.00,45921.00
26/10/2025,BIT - מכירות 25/10/2025 (שבת),BIT4225,,490.00,46411.00
27/10/2025,העברה - קפה ירוק מוטי חשבונית 1209,700014,3720.00,,42691.00
27/10/2025,POS - מכירות 26/10/2025,POS7626,,1250.00,43941.00
27/10/2025,BIT - מכירות 26/10/2025,BIT4226,,310.00,44251.00
28/10/2025,POS - מכירות 27/10/2025,POS7627,,1630.00,45881.00
28/10/2025,BIT - מכירות 27/10/2025,BIT4227,,370.00,46251.00
29/10/2025,כרטיס אשראי - שופרסל ספקים,900001,1840.00,,44411.00
29/10/2025,POS - מכירות 28/10/2025,POS7628,,1040.00,45451.00
29/10/2025,BIT - מכירות 28/10/2025,BIT4228,,500.00,45951.00
30/10/2025,עמלת סליקה - כאל אוקטובר,900002,1640.00,,44311.00
30/10/2025,הוראת קבע - מים עירייה,800006,410.00,,43901.00
30/10/2025,POS - מכירות 29/10/2025,POS7629,,1070.00,44971.00
30/10/2025,BIT - מכירות 29/10/2025,BIT4229,,230.00,45201.00
31/10/2025,POS - מכירות 30/10/2025,POS7630,,1290.00,46491.00
31/10/2025,BIT - מכירות 30/10/2025,BIT4230,,380.00,46871.00
01/11/2025,POS - מכירות 31/10/2025 (שישי),POS7631,,1840.00,48711.00
01/11/2025,BIT - מכירות 31/10/2025 (שישי),BIT4231,,750.00,49461.00
