תאריך,תיאור,אסמכתא,חובה,זכות,יתרה
11/12/2025,העברה - תיקון מכונת אספרסו - שלמה טכנאי קפה (דחוף),700208,3500.00,,26201.00
11/12/2025,POS - מכירות 10/12/2025,POS8110,,1110.00,27311.00
11/12/2025,BIT - מכירות 10/12/2025,BIT4320,,300.00,27611.00
12/12/2025,העברה - קפה ירוק מוטי חשבונית 1305,700209,3920.00,,23691.00
12/12/2025,POS - מכירות 11/12/2025,POS8111,,1510.00,25201.00
12/12/2025,BIT - מכירות 11/12/2025,BIT4321,,300.00,25501.00
13/12/2025,POS - מכירות 12/12/2025 (שישי),POS8112,,2830.00,28331.00
13/12/2025,BIT - מכירות 12/12/2025 (שישי),BIT4322,,600.00,28931.00
14/12/2025,העברה - יעקב אספקה חג חנוכה,700210,1420.00,,27511.00
14/12/2025,POS - מכירות 13/12/2025 (שבת),POS8113,,2080.00,29591.00
14/12/2025,BIT - מכירות 13/12/2025 (שבת),BIT4323,,1090.00,30681.00
15/12/2025,POS - מכירות 14/12/2025,POS8114,,1300.00,31981.00
15/12/2025,BIT - מכירות 14/12/2025,BIT4324,,370.00,32351.00
16/12/2025,הוראת קבע - ביטוח הפניקס,800205,850.00,,31501.00
16/12/2025,POS - מכירות 15/12/2025,POS8115,,1390.00,32891.00
16/12/2025,BIT - מכירות 15/12/2025,BIT4325,,710.00,33601.00
17/12/2025,POS - מכירות 16/12/2025,POS8116,,1170.00,34771.00
17/12/2025,BIT - מכירות 16/12/2025,BIT4326,,390.00,35161.00
17/12/2025,"העברה - אירוע חנוכה משרד עו""ד שטרן ושות'",3300401,,3200.00,38361.00
18/12/2025,העברה - חלב טוב יוסי חשבונית 4641,700211,3400.00,,34961.00
18/12/2025,POS - מכירות 17/12/2025,POS8117,,1040.00,36001.00
18/12/2025,BIT - מכירות 17/12/2025,BIT4327,,480.00,36481.00
19/12/2025,POS - מכירות 18/12/2025,POS8118,,1180.00,37661.00
19/12/2025,BIT - מכירות 18/12/2025,BIT4328,,550.00,38211.00
20/12/2025,העברה - מאפיית שמש רונית חשבונית 0855 (חנוכה),700212,5120.00,,33091.00
20/12/2025,POS - מכירות 19/12/2025 (שישי),POS8119,,3250.00,36341.00
20/12/2025,BIT - מכירות 19/12/2025 (שישי),BIT4329,,780.00,37121.00
21/12/2025,POS - מכירות 20/12/2025 (שבת),POS8120,,2060.00,39181.00
21/12/2025,BIT - מכירות 20/12/2025 (שבת),BIT4330,,940.00,40121.00
22/12/2025,העברה - שוק הכרמל אבו חסן ירקות,700213,740.00,,39381.00
22/12/2025,POS - מכירות 21/12/2025,POS8121,,1650.00,41031.00
22/12/2025,BIT - מכירות 21/12/2025,BIT4331,,420.00,41451.00
22/12/2025,העברה - מסיבת חנוכה גן ילדים שלי,3300417,,1300.00,42751.00
23/12/2025,POS - מכירות 22/12/2025,POS8122,,1630.00,44381.00
23/12/2025,BIT - מכירות 22/12/2025,BIT4332,,430.00,44811.00
24/12/2025,העברה - רואה חשבון שמואל גולן נובמבר,700214,1200.00,,43611.00
24/12/2025,POS - מכירות 23/12/2025,POS8123,,1160.00,44771.00
24/12/2025,BIT - מכירות 23/12/2025,BIT4333,,480.00,45251.00
25/12/2025,POS - מכירות 24/12/2025,POS8124,,1080.00,46331.00
25/12/2025,BIT - מכירות 24/12/2025,BIT4334,,400.00,46731.00
26/12/2025,POS - מכירות 25/12/2025,POS8125,,1390.00,48121.00
26/12/2025,BIT - מכירות 25/12/2025,BIT4335,,320.00,48441.00
27/12/2025,העברה - קפה ירוק מוטי חשבונית 1339,700215,4010.00,,44431.00
27/12/2025,POS - מכירות 26/12/2025 (שישי),POS8126,,2150.00,46581.00
27/12/2025,BIT - מכירות 26/12/2025 (שישי),BIT4336,,730.00,47311.00
28/12/2025,POS - מכירות 27/12/2025 (שבת),POS8127,,2650.00,49961.00
28/12/2025,BIT - מכירות 27/12/2025 (שבת),BIT4337,,970.00,50931.00
29/12/2025,כרטיס אשראי - שופרסל ספקים,900201,2180.00,,48751.00
29/12/2025,POS - מכירות 28/12/2025,POS8128,,1050.00,49801.00
29/12/2025,BIT - מכירות 28/12/2025,BIT4338,,360.00,50161.00
30/12/2025,עמלת סליקה - כאל דצמבר,900202,1810.00,,48351.00
30/12/2025,הוראת קבע - מים עירייה,800206,430.00,,47921.00
30/12/2025,POS - מכירות 29/12/2025,POS8129,,1490.00,49411.00
30/12/2025,BIT - מכירות 29/12/2025,BIT4339,,660.00,50071.00
31/12/2025,POS - מכירות 30/12/2025,POS8130,,1130.00,51201.00
31/12/2025,BIT - מכירות 30/12/2025,BIT4340,,490.00,51691.00
01/01/2026,POS - מכירות 31/12/2025,POS8131,,1210.00,52901.00
01/01/2026,BIT - מכירות 31/12/2025,BIT4341,,470.00,53371.00
