תאריך,תיאור,אסמכתא,חובה,זכות,יתרה
14/01/2026,BIT - מכירות 13/01/2026,BIT4373,,420.00,22211.00
15/01/2026,POS - מכירות 14/01/2026,POS8414,,810.00,23021.00
15/01/2026,BIT - מכירות 14/01/2026,BIT4374,,410.00,23431.00
16/01/2026,הוראת קבע - ביטוח הפניקס,800305,850.00,,22581.00
16/01/2026,POS - מכירות 15/01/2026,POS8415,,1260.00,23841.00
16/01/2026,BIT - מכירות 15/01/2026,BIT4375,,320.00,24161.00
17/01/2026,POS - מכירות 16/01/2026 (שישי),POS8416,,1590.00,25751.00
17/01/2026,BIT - מכירות 16/01/2026 (שישי),BIT4376,,740.00,26491.00
18/01/2026,POS - מכירות 17/01/2026 (שבת),POS8417,,1910.00,28401.00
18/01/2026,BIT - מכירות 17/01/2026 (שבת),BIT4377,,940.00,29341.00
19/01/2026,"העברה - חלב טוב יוסי חשבונית 4641 ע""ח (תשלום חלקי)",700310,1800.00,,27541.00
19/01/2026,POS - מכירות 18/01/2026,POS8418,,860.00,28401.00
19/01/2026,BIT - מכירות 18/01/2026,BIT4378,,370.00,28771.00
20/01/2026,POS - מכירות 19/01/2026,POS8419,,1150.00,29921.00
20/01/2026,BIT - מכירות 19/01/2026,BIT4379,,500.00,30421.00
21/01/2026,העברה - חלב טוב יוסי חשבונית 4682 השלמה,700311,1500.00,,28921.00
21/01/2026,POS - מכירות 20/01/2026,POS8420,,1090.00,30011.00
21/01/2026,BIT - מכירות 20/01/2026,BIT4380,,440.00,30451.00
22/01/2026,העברה - מאפיית שמש רונית חשבונית 0921,700312,5120.00,,25331.00
22/01/2026,POS - מכירות 21/01/2026,POS8421,,1200.00,26531.00
22/01/2026,BIT - מכירות 21/01/2026,BIT4381,,300.00,26831.00
23/01/2026,POS - מכירות 22/01/2026,POS8422,,970.00,27801.00
23/01/2026,BIT - מכירות 22/01/2026,BIT4382,,310.00,28111.00
24/01/2026,העברה - רואה חשבון שמואל גולן דצמבר,700313,1200.00,,26911.00
24/01/2026,POS - מכירות 23/01/2026 (שישי),POS8423,,2800.00,29711.00
24/01/2026,BIT - מכירות 23/01/2026 (שישי),BIT4383,,530.00,30241.00
25/01/2026,POS - מכירות 24/01/2026 (שבת),POS8424,,1710.00,31951.00
25/01/2026,BIT - מכירות 24/01/2026 (שבת),BIT4384,,820.00,32771.00
26/01/2026,POS - מכירות 25/01/2026,POS8425,,1160.00,33931.00
26/01/2026,BIT - מכירות 25/01/2026,BIT4385,,400.00,34331.00
27/01/2026,העברה - קפה ירוק מוטי חשבונית 1408,700314,4320.00,,30011.00
27/01/2026,POS - מכירות 26/01/2026,POS8426,,1320.00,31331.00
27/01/2026,BIT - מכירות 26/01/2026,BIT4386,,300.00,31631.00
28/01/2026,POS - מכירות 27/01/2026,POS8427,,1160.00,32791.00
28/01/2026,BIT - מכירות 27/01/2026,BIT4387,,340.00,33131.00
29/01/2026,כרטיס אשראי - שופרסל ספקים,900301,2410.00,,30721.00
29/01/2026,POS - מכירות 28/01/2026,POS8428,,1280.00,32001.00
29/01/2026,BIT - מכירות 28/01/2026,BIT4388,,420.00,32421.00
30/01/2026,עמלת סליקה - כאל ינואר,900302,1690.00,,30731.00
30/01/2026,הוראת קבע - מים עירייה,800306,430.00,,30301.00
30/01/2026,POS - מכירות 29/01/2026,POS8429,,1120.00,31421.00
30/01/2026,BIT - מכירות 29/01/2026,BIT4389,,530.00,31951.00
31/01/2026,POS - מכירות 30/01/2026 (שישי),POS8430,,2090.00,34041.00
31/01/2026,BIT - מכירות 30/01/2026 (שישי),BIT4390,,900.00,34941.00
01/02/2026,POS - מכירות 31/01/2026 (שבת),POS8431,,2070.00,37011.00
01/02/2026,BIT - מכירות 31/01/2026 (שבת),BIT4391,,1020.00,38031.00
