email,name,source,subscribed_date,status,last_opened
maya492@gmail.com,עינת ישראלי,event,2023-05-24,active,2025-03-22
hila943@icloud.com,ליבי ישראלי,event,2022-06-05,active,2025-12-20
noa981@walla.co.il,דור אלבז,manual,2023-10-05,active,2025-05-29
nir279@gmail.com,רוית ענבר,event,2023-01-10,active,2024-12-12
shai489@walla.co.il,ארנון טוויל,wifi,2023-04-26,active,2025-02-03
yossi807@icloud.com,אביגיל חיון,wifi,2023-04-15,active,2024-12-25
david339@gmail.com,אייל ברק,event,2022-11-16,unsubscribed,
nir242@gmail.com,רועי חזן,pos,2022-06-10,unsubscribed,
michal80@gmail.com,אורה כהנא,manual,2025-06-11,bounced,
shira958@gmail.com,אריאל פלד,pos,2024-09-14,active,2025-06-16
michal122@gmail.com,אורן נחום,manual,2025-03-22,bounced,
yossi450@walla.co.il,רפי נחום,manual,2023-01-10,active,2025-11-06
tomer972@gmail.com,שחר ורדי,wifi,2025-03-27,active,2024-10-10
nir148@icloud.com,נועה יצחקי,manual,2024-09-06,active,2025-12-06
noa53@hotmail.com,אורה אורן,event,2024-03-17,active,2024-11-26
shai937@walla.co.il,יוסי אדרי,pos,2025-12-01,active,2025-11-13
noa338@walla.co.il,ספיר כץ,pos,2022-01-25,active,2025-01-02
dor441@gmail.com,אמה קליין,pos,2023-10-29,active,2025-06-06
danny670@gmail.com,גיל הלוי,event,2023-01-19,bounced,
yael217@icloud.com,נועה ויס,wifi,2023-07-06,active,2025-09-26
roni31@hotmail.com,שירלי סלע,event,2024-01-20,active,2024-12-06
tomer525@outlook.com,אופק לביא,wifi,2024-05-08,active,2025-06-17
noa469@gmail.com,טל הראל,manual,2023-07-27,active,2025-09-05
nir649@icloud.com,עינת עמר,wifi,2025-03-25,active,2025-01-21
noa449@hotmail.com,שירלי הראל,event,2023-04-28,unsubscribed,
nir429@gmail.com,יסמין קליין,manual,2023-02-06,active,2024-10-28
alon146@yahoo.com,הראל כץ,wifi,2024-08-26,unsubscribed,
rinat953@walla.co.il,דור צדוק,wifi,2024-05-13,unsubscribed,
yossi5@walla.co.il,אופיר אורן,event,2024-09-23,active,2025-04-04
maya117@yahoo.com,עמרי אטיאס,pos,2024-03-26,active,2024-09-10
hila142@outlook.com,שלמה ליבוביץ,pos,2023-03-18,bounced,
omer669@icloud.com,אריאל חדד,manual,2025-07-13,unsubscribed,
shai563@gmail.com,נטע עמר,event,2023-06-17,active,2025-06-05
danny450@gmail.com,הדס סלע,event,2023-12-06,active,2024-06-21
hila552@gmail.com,אופק גרין,event,2025-10-23,active,2024-12-21
yael780@outlook.com,כרמל הראל,wifi,2023-08-06,active,2025-05-30
ori890@gmail.com,רותם נחום,manual,2024-07-04,active,2024-08-20
dor781@gmail.com,תמר פישר,event,2024-08-07,active,2024-10-27
amit85@yahoo.com,עידו חדד,event,2024-05-13,active,2025-07-20
ori9@yahoo.com,ארנון מלכה,pos,2022-06-12,unsubscribed,
guy323@gmail.com,הראל יצחקי,wifi,2023-10-05,active,2025-04-21
yael512@gmail.com,אסתר כהנא,event,2025-05-24,bounced,
noa998@gmail.com,רותם ליבוביץ,event,2024-06-30,bounced,
amit537@gmail.com,טל יצחקי,event,2025-04-17,unsubscribed,
omer3@gmail.com,טל פלד,manual,2024-04-27,active,2024-11-19
alon328@hotmail.com,דוד צדוק,pos,2022-09-14,active,2025-01-27
arnon729@hotmail.com,עמרי יצחקי,pos,2023-03-08,bounced,
amit872@yahoo.com,לי כץ,pos,2022-07-15,active,2024-08-05
tomer367@walla.co.il,דניאלה עמר,manual,2025-01-28,active,2024-07-26
amit840@gmail.com,מאי אברהם,manual,2024-12-09,active,2024-08-25
amit940@gmail.com,רון פלד,wifi,2022-06-22,active,2025-07-05
rinat363@walla.co.il,ליאור אברהם,wifi,2023-08-05,active,2025-08-28
guy205@walla.co.il,שרה אוחיון,wifi,2024-12-14,bounced,
ori918@hotmail.com,עומר פישר,pos,2022-03-13,unsubscribed,
rinat181@walla.co.il,תומר פרידמן,event,2024-09-02,bounced,
dor406@gmail.com,איתי טל,event,2025-01-28,active,2025-08-30
rinat652@gmail.com,אסתר ברק,wifi,2025-04-25,active,2025-09-11
guy993@gmail.com,שרה כהן,manual,2024-12-08,bounced,
danny351@gmail.com,רוית שפירא,event,2023-12-13,bounced,
noa420@hotmail.com,אריאל אברהם,wifi,2022-07-03,active,2025-08-27
tomer704@icloud.com,שגיא ברק,manual,2023-06-17,active,2024-11-07
rinat996@walla.co.il,טל אברהם,pos,2024-12-07,active,2024-10-18
amit533@icloud.com,אדם אברהם,manual,2024-12-31,active,2024-06-09
rotem498@icloud.com,מאי נחום,manual,2024-09-04,bounced,
nir702@gmail.com,מיכל מלכה,manual,2023-08-23,active,2025-01-23
michal841@gmail.com,אייל נוי,event,2023-01-22,unsubscribed,
amit767@gmail.com,אילה פלד,manual,2024-03-19,active,2025-02-11
yossi599@gmail.com,משה כהן,manual,2024-02-14,active,2025-01-12
omer783@hotmail.com,הילה סבן,event,2024-04-25,active,2024-12-10
rotem467@icloud.com,אסף דהן,wifi,2023-10-19,active,2024-06-20
david289@hotmail.com,ארנון שפירא,wifi,2023-04-22,active,2024-09-01
guy320@icloud.com,אורי קליין,wifi,2023-11-08,fake,
yossi74@icloud.com,איתן אוחיון,event,2024-02-21,active,2024-06-13
lior254@gmail.com,יהונתן ליבוביץ,wifi,2024-12-03,active,2024-12-31
roni163@gmail.com,שירלי ישראלי,wifi,2023-06-03,unsubscribed,
shira885@walla.co.il,,instagram_giveaway,2023-10-27,fake,
david406@walla.co.il,,instagram_giveaway,2025-11-10,active,2024-11-06
shai94@yahoo.com,אסתר אברהם,wifi,2022-05-03,fake,
david129@icloud.com,מיה אוחיון,event,2024-06-17,active,2024-12-15
arnon257@gmail.com,דביר לביא,event,2025-01-16,active,2025-10-15
roni750@icloud.com,מאור אטיאס,manual,2022-11-25,active,2024-08-10
tomer376@icloud.com,הראל ורדי,instagram_giveaway,2023-01-15,active,2024-06-20
alon65@outlook.com,אסתר הלוי,manual,2022-11-12,active,2025-03-17
david536@gmail.com,אורה חיון,wifi,2022-03-06,active,2024-12-24
maya658@outlook.com,טל אדרי,manual,2023-06-09,bounced,
danny14@walla.co.il,מתן בן דוד,wifi,2024-08-16,bounced,
guy842@yahoo.com,,manual,2023-06-29,unsubscribed,
danny968@walla.co.il,,wifi,2024-12-24,fake,
yael584@gmail.com,אורית אדרי,wifi,2025-07-31,bounced,
guy905@gmail.com,,instagram_giveaway,2024-10-30,active,2025-05-12
michal925@yahoo.com,עמרי דניאל,event,2024-04-24,bounced,
maya559@walla.co.il,אלין חזן,event,2024-01-08,active,2025-09-07
tal611@gmail.com,מורן כהן,event,2022-01-14,bounced,
ori791@hotmail.com,גילי אלבז,manual,2025-03-16,fake,
arnon142@hotmail.com,רון מזרחי,wifi,2023-06-09,active,2025-04-04
noa752@gmail.com,מאור מלכה,wifi,2024-09-26,unsubscribed,
alon828@outlook.com,,event,2023-12-14,active,2025-08-19
rotem870@gmail.com,מאי ענבר,wifi,2023-09-17,bounced,
roni515@walla.co.il,ליאור שפירא,instagram_giveaway,2024-07-01,active,2025-10-30
yossi152@gmail.com,יונתן סבן,wifi,2025-01-27,active,2025-07-14
nir134@gmail.com,,instagram_giveaway,2025-08-28,active,2024-12-18
guy332@gmail.com,ניר ביטון,event,2023-12-15,active,2024-12-13
tal174@yahoo.com,רוית דניאל,instagram_giveaway,2025-06-30,bounced,
yael205@yahoo.com,הראל מזרחי,wifi,2022-08-19,active,2024-07-26
tal15@yahoo.com,,instagram_giveaway,2024-08-22,unsubscribed,
noa209@hotmail.com,אופיר אלבז,wifi,2025-11-24,bounced,
omer45@hotmail.com,,manual,2023-07-10,active,2024-07-25
dor278@yahoo.com,,instagram_giveaway,2023-04-19,unsubscribed,
roni497@gmail.com,ענבר ליבוביץ,instagram_giveaway,2025-02-22,active,2024-06-23
shai403@gmail.com,ניר שמש,event,2025-07-04,active,2025-04-06
rotem264@outlook.com,שחר הראל,wifi,2025-02-10,fake,
yossi673@gmail.com,גילי אוחיון,manual,2025-07-05,active,2025-01-19
tal932@yahoo.com,,wifi,2025-04-04,active,2025-12-07
omer932@gmail.com,איתי זילברמן,wifi,2025-09-05,active,2024-11-09
alon122@gmail.com,תמר אורן,wifi,2023-10-15,active,2025-07-29
rotem956@hotmail.com,,wifi,2023-01-14,active,2024-06-27
hila238@walla.co.il,ליאת ברק,instagram_giveaway,2022-10-02,unsubscribed,
yossi504@icloud.com,,wifi,2024-04-16,active,2024-06-16
noa776@walla.co.il,אורה בן דוד,instagram_giveaway,2025-06-17,active,2025-10-15
shira623@outlook.com,לאה בן חיים,manual,2025-05-01,unsubscribed,
shira899@walla.co.il,דור פרידמן,wifi,2025-02-16,bounced,
shira195@hotmail.com,אביבית סלע,event,2024-08-02,active,2024-11-18
nir530@gmail.com,אביגיל הלוי,wifi,2024-10-22,active,2024-09-24
nir560@gmail.com,יהונתן גרין,wifi,2023-01-02,active,2025-09-08
nir665@gmail.com,,wifi,2024-07-09,unsubscribed,
alon811@gmail.com,הילה שמש,wifi,2023-11-18,active,2024-11-01
shira430@hotmail.com,נדב אטיאס,instagram_giveaway,2023-08-15,active,2024-12-03
amit13@icloud.com,איתי אדרי,wifi,2025-05-30,active,2025-10-19
lior420@icloud.com,עמית גרין,wifi,2025-01-25,active,2025-03-12
rotem358@gmail.com,,manual,2025-05-20,active,2025-04-02
rinat166@hotmail.com,הילה פרץ,manual,2025-03-18,bounced,
shira96@hotmail.com,נועם נוי,wifi,2024-05-25,active,2025-12-16
nir881@hotmail.com,אורן צדוק,wifi,2025-11-26,active,2025-01-01
rotem542@gmail.com,רון ברק,event,2024-05-24,active,2025-04-21
michal950@gmail.com,אביבית ברק,instagram_giveaway,2024-10-05,bounced,
noa2@gmail.com,יעקב בן דוד,wifi,2023-03-01,active,2025-07-30
rotem218@gmail.com,מיכל טל,event,2022-05-19,bounced,
ori117@yahoo.com,טל רוזן,manual,2022-03-01,active,2024-11-27
shai939@icloud.com,אופיר טל,instagram_giveaway,2022-11-15,unsubscribed,
guy951@gmail.com,,event,2025-02-11,unsubscribed,
michal68@gmail.com,,instagram_giveaway,2025-07-07,active,2025-11-30
hila120@hotmail.com,מאור דניאל,wifi,2023-07-11,unsubscribed,
michal463@hotmail.com,הילה קליין,wifi,2024-02-06,active,2024-07-09
shai927@gmail.com,אבי עמר,manual,2023-09-28,active,2025-05-02
omer693@gmail.com,,instagram_giveaway,2024-12-05,active,2024-09-27
hila893@gmail.com,אייל מזרחי,wifi,2024-12-02,active,2025-04-16
noa329@walla.co.il,,event,2024-06-22,active,2024-09-29
ori982@gmail.com,ליבי חדד,event,2023-07-10,active,2024-10-23
tal628@yahoo.com,,wifi,2024-08-22,bounced,
guy402@gmail.com,רון לביא,instagram_giveaway,2025-06-16,unsubscribed,
nir777@gmail.com,טל טל,instagram_giveaway,2025-03-08,fake,
lior318@icloud.com,אבי כהנא,wifi,2025-06-17,active,2025-02-20
dor339@yahoo.com,,instagram_giveaway,2022-08-20,active,2025-05-26
michal619@gmail.com,לאה חדד,wifi,2023-10-30,bounced,
yossi605@outlook.com,,wifi,2024-09-14,active,2025-06-29
maya442@outlook.com,אופיר אלבז,wifi,2022-12-21,bounced,
shai118@icloud.com,,instagram_giveaway,2022-12-27,active,2025-04-12
hila790@outlook.com,תמר דניאל,wifi,2022-07-05,active,2025-01-09
ori776@gmail.com,אהרן סלע,event,2024-03-09,bounced,
roni307@hotmail.com,אורית אלבז,event,2022-07-02,fake,
arnon873@hotmail.com,יעקב רוזן,wifi,2022-01-02,active,2025-12-26
yael443@outlook.com,מאי ורדי,instagram_giveaway,2024-02-21,bounced,
shai143@walla.co.il,הדס אלבז,event,2024-05-04,bounced,
ori74@gmail.com,אורן טוויל,instagram_giveaway,2022-10-06,active,2024-08-26
nir619@outlook.com,אלי נחום,instagram_giveaway,2025-02-04,bounced,
guy620@gmail.com,שירלי יצחקי,wifi,2024-10-24,bounced,
shira39@icloud.com,,instagram_giveaway,2025-11-15,unsubscribed,
amit477@gmail.com,נדב מור,wifi,2024-08-25,bounced,
maya320@gmail.com,שלמה ויס,wifi,2024-08-18,fake,
roni432@yahoo.com,ענבר צדוק,event,2022-12-10,fake,
alon804@hotmail.com,דביר דניאל,wifi,2025-03-19,active,2024-07-23
shai85@gmail.com,סופיה הלוי,event,2023-06-01,bounced,
amit15@gmail.com,יעקב הראל,wifi,2025-09-11,bounced,
nir242@icloud.com,אילה אטיאס,wifi,2023-12-04,active,2024-08-26
guy789@outlook.com,משה אוחיון,wifi,2023-03-08,active,2025-05-20
david54@gmail.com,אלי גולן,instagram_giveaway,2024-12-26,active,2025-01-26
amit149@outlook.com,יסמין ליבוביץ,instagram_giveaway,2024-02-22,active,2025-04-20
guy626@hotmail.com,,wifi,2023-06-07,active,2025-07-06
alon689@walla.co.il,אסתר ישראלי,wifi,2023-10-04,bounced,
ori422@gmail.com,שלמה כהן,event,2023-03-26,bounced,
hila95@gmail.com,עדי אדרי,wifi,2025-05-12,fake,
hila134@outlook.com,בן אזולאי,manual,2023-01-14,bounced,
lior677@gmail.com,דביר אטיאס,event,2024-05-24,bounced,
amit796@gmail.com,עדי חדד,wifi,2023-06-13,active,2025-02-27
noa625@outlook.com,הראל ביטון,wifi,2025-01-12,active,2025-08-16
lior733@hotmail.com,,manual,2023-05-29,active,2025-08-31
ori956@gmail.com,,event,2024-03-12,bounced,
shai490@outlook.com,שחר ליבוביץ,wifi,2025-01-11,active,2025-01-18
shai125@yahoo.com,עומר כהנא,wifi,2025-07-18,active,2024-09-01
lior779@hotmail.com,,wifi,2024-02-26,bounced,
david646@yahoo.com,אייל כהנא,instagram_giveaway,2023-01-24,active,2024-10-22
maya245@icloud.com,גיל לוי,event,2024-10-20,active,2025-11-29
roni807@gmail.com,,manual,2024-07-27,active,2025-12-02
danny38@gmail.com,,manual,2022-04-04,active,2025-02-04
tal841@gmail.com,,manual,2022-05-11,active,2024-09-17
yael65@walla.co.il,טל דניאל,instagram_giveaway,2023-10-27,active,2024-10-02
shira608@gmail.com,,wifi,2024-04-30,active,2024-11-20
maya42@gmail.com,חן חדד,manual,2024-02-10,active,2024-11-09
rinat949@gmail.com,טל אברהם,event,2024-05-02,unsubscribed,
rotem278@icloud.com,לי דהן,manual,2025-11-17,active,2024-07-09
danny643@hotmail.com,,wifi,2023-01-29,active,2024-09-29
tomer520@walla.co.il,יעקב כץ,wifi,2023-07-21,active,2024-07-25
shai510@gmail.com,עידו פישר,wifi,2025-08-13,active,2025-06-08
hila825@icloud.com,ספיר סבן,manual,2022-12-27,active,2024-11-09
yael739@icloud.com,טל רוזן,wifi,2025-10-18,bounced,
yael101@walla.co.il,גילי ענבר,instagram_giveaway,2023-03-28,unsubscribed,
guy149@walla.co.il,רועי גרין,instagram_giveaway,2024-02-04,fake,
michal999@hotmail.com,,manual,2022-05-03,active,2025-03-15
rinat779@yahoo.com,,wifi,2025-07-30,active,2024-11-22
shai883@walla.co.il,אבי נחום,event,2022-01-30,bounced,
guy594@walla.co.il,סופיה בן חיים,wifi,2025-03-20,fake,
shai752@gmail.com,יובל מזרחי,wifi,2024-07-15,active,2025-10-21
nir750@outlook.com,,event,2023-05-05,fake,
rinat721@icloud.com,דניאל צדוק,wifi,2024-07-20,unsubscribed,
yossi190@yahoo.com,אסתר דהן,wifi,2025-07-08,bounced,
shira304@outlook.com,עומר כהנא,manual,2025-01-15,unsubscribed,
roni754@gmail.com,אורון ישראלי,event,2022-04-16,bounced,
shira375@yahoo.com,עומר כץ,wifi,2025-02-22,active,2024-12-27
rotem490@walla.co.il,אופיר בן חיים,event,2023-12-24,unsubscribed,
shira65@yahoo.com,ענבר ישראלי,manual,2022-09-09,active,2025-09-25
dor969@gmail.com,שרה הלוי,wifi,2022-06-14,active,2025-07-06
amit115@gmail.com,אורן ביטון,manual,2025-07-08,active,2024-06-24
arnon486@yahoo.com,אורה ישראלי,wifi,2023-08-21,active,2024-12-11
omer661@yahoo.com,דניאל בן דוד,event,2024-09-22,active,2025-11-25
tal176@hotmail.com,לאה זילברמן,event,2022-04-07,active,2024-10-30
hila947@gmail.com,,wifi,2025-11-19,unsubscribed,
roni589@gmail.com,תומר בן חיים,wifi,2025-02-25,active,2024-07-06
tomer999@gmail.com,,wifi,2024-04-08,bounced,
roni160@gmail.com,אסתר אוחיון,manual,2023-11-10,fake,
maya683@gmail.com,מירי ורדי,instagram_giveaway,2023-11-25,unsubscribed,
arnon695@gmail.com,גיא צדוק,wifi,2024-07-02,active,2025-06-01
noa598@walla.co.il,ליאור פרץ,wifi,2022-02-16,unsubscribed,
danny525@outlook.com,עמרי עמר,manual,2024-11-13,active,2024-07-28
guy379@outlook.com,,event,2023-09-23,active,2025-08-31
alon426@icloud.com,עמית מור,instagram_giveaway,2024-04-28,active,2024-10-21
omer344@gmail.com,נדב אלבז,instagram_giveaway,2022-07-01,fake,
guy180@icloud.com,יובל ויס,wifi,2023-02-13,unsubscribed,
shira843@hotmail.com,עומר ורדי,manual,2024-08-07,unsubscribed,
amit308@icloud.com,דניאל פישר,event,2024-05-04,active,2024-12-01
david784@hotmail.com,לי חיון,manual,2024-01-11,active,2025-10-06
nir838@gmail.com,עדי ויס,wifi,2023-06-16,active,2024-11-14
nir139@yahoo.com,,instagram_giveaway,2025-07-27,active,2025-05-31
rinat557@yahoo.com,איתן פרידמן,event,2023-07-10,unsubscribed,
arnon14@gmail.com,ענת שפירא,instagram_giveaway,2024-04-23,bounced,
omer227@walla.co.il,שני פרידמן,manual,2024-12-25,unsubscribed,
david839@gmail.com,יובל פלד,event,2025-11-16,fake,
hila536@yahoo.com,ליאור עמר,wifi,2023-04-01,active,2024-10-10
noa134@gmail.com,דביר בן דוד,wifi,2022-06-09,active,2024-06-20
david34@gmail.com,תהילה סבן,wifi,2022-05-16,active,2025-04-05
hila211@walla.co.il,איתן פרידמן,wifi,2022-10-26,active,2025-03-12
alon628@walla.co.il,,manual,2022-01-29,bounced,
rinat924@gmail.com,,wifi,2024-10-29,fake,
lior690@gmail.com,אילה כהנא,instagram_giveaway,2024-05-18,active,2025-01-06
roni127@icloud.com,,event,2023-08-14,active,2025-12-23
yossi291@icloud.com,אבי חזן,instagram_giveaway,2023-04-08,bounced,
danny917@icloud.com,אביגיל סבן,wifi,2025-10-12,fake,
omer675@gmail.com,יסמין פרידמן,manual,2022-07-28,active,2024-11-20
hila865@outlook.com,מתן אדרי,instagram_giveaway,2023-07-25,active,2025-03-07
yossi497@hotmail.com,רוית צדוק,wifi,2023-05-29,active,2025-10-15
ori102@gmail.com,גילי ויס,wifi,2023-01-02,unsubscribed,
tal637@gmail.com,ליאת ישראלי,manual,2024-10-05,unsubscribed,
shai517@hotmail.com,אורית ורדי,manual,2025-01-24,bounced,
david393@icloud.com,איתן מזרחי,instagram_giveaway,2022-03-15,active,2024-07-04
tal906@gmail.com,,instagram_giveaway,2024-09-25,active,2024-09-21
maya482@icloud.com,,wifi,2024-03-12,bounced,
