timestamp,number,contact_name,duration_sec,type
2026-01-14 14:07:56,050-4445566,רוני - ניקיון פרו,80,incoming
2026-01-14 17:05:26,052-9876543,אלי - ירקות שוק,351,outgoing
2026-01-14 17:30:32,03-5551234,עירייה - מחלקת רישוי,0,missed
2026-01-14 19:46:50,054-7778899,דוד - תיקון מזגנים,139,outgoing
2026-01-15 09:34:13,054-7654321,מירי - חלב טרי,100,incoming
2026-01-15 11:23:18,1700-700700,בנק הפועלים,0,missed
2026-01-16 08:00:21,050-1112299,,0,missed
2026-01-16 10:16:07,058-7654321,,0,missed
2026-01-16 11:45:21,077-1234500,ביטוח לאומי,0,missed
2026-01-16 15:16:57,050-2223344,שירה לקוחה קבועה,313,outgoing
2026-01-16 17:51:41,050-8889900,תמר - שאלה על אלרגיות,136,incoming
2026-01-16 19:35:09,052-9876543,אלי - ירקות שוק,0,missed
2026-01-18 09:04:56,050-9991122,בעל הבית - שמואל,408,incoming
2026-01-18 10:47:28,052-6665544,,0,missed
2026-01-18 12:23:57,052-5556677,נועה - בירור תפריט,285,outgoing
2026-01-18 17:35:09,050-1112299,,0,missed
2026-01-19 08:42:12,052-9876543,אלי - ירקות שוק,455,outgoing
2026-01-19 11:12:52,052-9876543,אלי - ירקות שוק,258,outgoing
2026-01-19 11:55:10,1700-700700,בנק הפועלים,213,incoming
2026-01-19 12:10:50,058-7654321,,0,missed
2026-01-19 13:49:35,052-6665544,,34,incoming
2026-01-19 19:59:21,058-2223399,,46,incoming
2026-01-20 08:07:56,054-7654321,מירי - חלב טרי,0,missed
2026-01-20 12:02:06,055-3334411,,55,incoming
2026-01-20 13:41:32,058-2223399,,57,incoming
2026-01-20 14:38:32,053-6667788,יעל - הזמנת שולחן,0,missed
2026-01-21 12:02:45,050-4445566,רוני - ניקיון פרו,411,incoming
2026-01-21 12:25:35,052-9876543,אלי - ירקות שוק,470,outgoing
2026-01-21 13:25:44,054-7654321,מירי - חלב טרי,275,outgoing
2026-01-21 17:20:42,050-4445566,רוני - ניקיון פרו,448,incoming
2026-01-21 17:38:41,053-1112233,טלי - קפה תל אביב,405,outgoing
2026-01-21 18:24:43,050-9991122,בעל הבית - שמואל,0,missed
2026-01-21 19:47:47,053-1112233,טלי - קפה תל אביב,368,incoming
2026-01-22 11:51:12,03-5551234,עירייה - מחלקת רישוי,280,incoming
2026-01-22 16:30:50,03-5551234,עירייה - מחלקת רישוי,557,incoming
2026-01-22 18:40:39,050-1234567,ירון - מאפיית הבוקר,347,outgoing
2026-01-23 09:49:27,050-1112299,,0,missed
2026-01-23 10:41:44,058-7654321,,0,missed
2026-01-23 10:51:44,052-6665544,,0,missed
2026-01-23 15:03:35,03-5551234,עירייה - מחלקת רישוי,166,outgoing
2026-01-23 15:42:33,053-1112233,טלי - קפה תל אביב,0,missed
2026-01-23 17:54:49,053-6667788,יעל - הזמנת שולחן,229,outgoing
2026-01-23 19:44:24,054-9990011,,0,missed
2026-01-25 11:53:40,050-4445566,רוני - ניקיון פרו,274,outgoing
2026-01-25 12:28:04,054-7654321,מירי - חלב טרי,373,incoming
2026-01-25 13:57:34,054-3334455,אורי - הזמנה לאירוע,266,outgoing
2026-01-25 14:44:09,03-5551234,עירייה - מחלקת רישוי,447,outgoing
2026-01-25 16:28:57,1700-700700,בנק הפועלים,295,outgoing
2026-01-26 08:58:25,054-7778899,דוד - תיקון מזגנים,102,outgoing
2026-01-26 13:19:48,053-1112233,טלי - קפה תל אביב,442,incoming
2026-01-26 14:31:01,054-7778899,דוד - תיקון מזגנים,468,incoming
2026-01-26 14:46:10,050-9991122,בעל הבית - שמואל,0,missed
2026-01-26 16:29:26,053-1112233,טלי - קפה תל אביב,454,outgoing
2026-01-26 17:44:01,054-9990011,,0,missed
2026-01-26 18:27:08,03-5551234,עירייה - מחלקת רישוי,418,incoming
2026-01-26 19:34:51,1700-700700,בנק הפועלים,309,outgoing
2026-01-27 08:22:14,050-2223344,שירה לקוחה קבועה,283,incoming
2026-01-27 11:29:20,053-1112233,טלי - קפה תל אביב,461,incoming
2026-01-27 11:53:01,03-9998877,רואה חשבון - אורן,514,outgoing
2026-01-27 12:53:05,058-7654321,,84,incoming
2026-01-28 16:27:42,050-4445566,רוני - ניקיון פרו,234,incoming
2026-01-28 17:01:59,054-7778899,דוד - תיקון מזגנים,263,outgoing
2026-01-28 17:13:29,054-7654321,מירי - חלב טרי,0,missed
2026-01-28 17:47:45,054-7654321,מירי - חלב טרי,115,outgoing
2026-01-28 19:12:04,054-7778899,דוד - תיקון מזגנים,112,outgoing
2026-01-28 19:49:19,050-8889900,תמר - שאלה על אלרגיות,385,incoming
2026-01-29 14:52:31,053-6667788,יעל - הזמנת שולחן,500,incoming
2026-01-29 19:09:27,050-9991122,בעל הבית - שמואל,581,incoming
2026-01-30 10:31:13,055-3334411,,0,missed
2026-01-30 11:05:15,054-9990011,,45,incoming
2026-01-30 12:21:17,050-4445566,רוני - ניקיון פרו,559,incoming
2026-01-30 12:56:28,1700-700700,בנק הפועלים,0,missed
2026-01-30 15:27:52,052-9876543,אלי - ירקות שוק,118,outgoing
2026-01-30 17:42:24,050-1234567,ירון - מאפיית הבוקר,362,outgoing
2026-01-30 19:30:41,054-9990011,,0,missed
2026-02-01 12:14:25,077-1234500,ביטוח לאומי,0,missed
2026-02-01 13:30:35,053-1112233,טלי - קפה תל אביב,0,missed
2026-02-02 10:19:00,077-1234500,ביטוח לאומי,85,incoming
2026-02-02 11:13:47,054-7778899,דוד - תיקון מזגנים,449,incoming
2026-02-02 12:55:30,050-1234567,ירון - מאפיית הבוקר,311,outgoing
2026-02-02 13:44:29,052-9876543,אלי - ירקות שוק,121,outgoing
2026-02-02 16:18:44,058-7654321,,0,missed
2026-02-02 16:38:18,077-1234500,ביטוח לאומי,399,outgoing
2026-02-02 17:18:30,052-9876543,אלי - ירקות שוק,86,outgoing
2026-02-02 19:12:20,050-4445566,רוני - ניקיון פרו,154,incoming
2026-02-03 09:15:07,052-6665544,,43,incoming
2026-02-03 17:40:43,054-3334455,אורי - הזמנה לאירוע,341,outgoing
2026-02-04 08:26:28,055-3334411,,0,missed
2026-02-04 11:18:45,053-1112233,טלי - קפה תל אביב,411,outgoing
2026-02-04 11:41:09,03-5551234,עירייה - מחלקת רישוי,199,incoming
2026-02-04 11:59:16,1700-700700,בנק הפועלים,587,incoming
2026-02-04 12:38:47,053-1112233,טלי - קפה תל אביב,509,incoming
2026-02-04 14:28:58,050-4445566,רוני - ניקיון פרו,216,outgoing
2026-02-04 15:28:05,053-1112233,טלי - קפה תל אביב,225,incoming
2026-02-04 17:39:03,054-3334455,אורי - הזמנה לאירוע,300,outgoing
2026-02-04 18:05:10,050-4445566,רוני - ניקיון פרו,140,outgoing
2026-02-04 19:19:44,052-9876543,אלי - ירקות שוק,336,incoming
2026-02-05 08:05:14,052-5556677,נועה - בירור תפריט,0,missed
2026-02-05 08:48:48,1700-700700,בנק הפועלים,0,missed
2026-02-05 14:40:52,058-7654321,,0,missed
2026-02-05 18:28:58,054-7654321,מירי - חלב טרי,0,missed
2026-02-06 08:13:17,052-6665544,,0,missed
2026-02-06 11:33:23,058-2223399,,0,missed
2026-02-06 14:21:20,054-3334455,אורי - הזמנה לאירוע,451,incoming
2026-02-06 15:05:20,052-9876543,אלי - ירקות שוק,443,incoming
2026-02-06 16:52:00,054-9990011,,0,missed
2026-02-06 19:31:18,052-6665544,,0,missed
2026-02-08 08:35:26,054-3334455,אורי - הזמנה לאירוע,502,incoming
2026-02-08 12:28:56,058-7654321,,0,missed
2026-02-08 18:38:51,03-9998877,רואה חשבון - אורן,594,incoming
2026-02-09 10:55:04,053-1112233,טלי - קפה תל אביב,463,outgoing
2026-02-09 16:09:24,050-4445566,רוני - ניקיון פרו,442,incoming
2026-02-09 16:17:52,054-7778899,דוד - תיקון מזגנים,360,outgoing
2026-02-09 17:42:31,052-6665544,,0,missed
2026-02-09 18:53:09,054-7778899,דוד - תיקון מזגנים,320,outgoing
2026-02-09 19:17:26,050-1112299,,0,missed
2026-02-10 08:20:47,058-2223399,,0,missed
2026-02-10 11:44:15,050-1112299,,0,missed
2026-02-10 13:35:48,054-9990011,,0,missed
2026-02-10 14:42:50,1700-700700,בנק הפועלים,159,incoming
2026-02-11 09:28:10,050-2223344,שירה לקוחה קבועה,87,incoming
2026-02-11 09:54:21,055-3334411,,77,incoming
2026-02-11 11:47:05,050-1234567,ירון - מאפיית הבוקר,420,incoming
2026-02-11 12:22:23,054-7654321,מירי - חלב טרי,270,incoming
2026-02-11 14:39:43,050-4445566,רוני - ניקיון פרו,178,outgoing
2026-02-11 15:00:46,054-7778899,דוד - תיקון מזגנים,98,outgoing
2026-02-11 15:50:16,054-7778899,דוד - תיקון מזגנים,392,outgoing
2026-02-11 16:02:39,054-7778899,דוד - תיקון מזגנים,207,incoming
2026-02-11 17:21:55,053-1112233,טלי - קפה תל אביב,329,outgoing
2026-02-11 17:43:50,054-7654321,מירי - חלב טרי,372,outgoing
2026-02-12 11:24:36,050-4445566,רוני - ניקיון פרו,332,incoming
2026-02-12 12:43:34,03-5551234,עירייה - מחלקת רישוי,383,outgoing
2026-02-12 15:54:19,1700-700700,בנק הפועלים,139,outgoing
2026-02-12 17:19:40,058-2223399,,0,missed
2026-02-12 18:16:29,054-7778899,דוד - תיקון מזגנים,506,incoming
2026-02-13 12:49:51,050-9991122,בעל הבית - שמואל,254,incoming
2026-02-13 18:12:39,054-7778899,דוד - תיקון מזגנים,129,outgoing
2026-02-13 18:25:17,050-8889900,תמר - שאלה על אלרגיות,538,incoming
2026-02-13 18:41:02,053-1112233,טלי - קפה תל אביב,403,incoming
2026-02-15 09:58:18,054-7778899,דוד - תיקון מזגנים,209,outgoing
2026-02-15 11:08:50,050-4445566,רוני - ניקיון פרו,0,missed
2026-02-15 12:53:10,053-1112233,טלי - קפה תל אביב,376,incoming
2026-02-16 09:43:14,050-4445566,רוני - ניקיון פרו,227,incoming
2026-02-16 13:05:50,052-9876543,אלי - ירקות שוק,123,incoming
2026-02-16 15:04:09,1700-700700,בנק הפועלים,0,missed
2026-02-16 15:23:43,050-4445566,רוני - ניקיון פרו,410,outgoing
2026-02-16 17:14:41,053-1112233,טלי - קפה תל אביב,214,incoming
2026-02-16 18:26:07,050-1234567,ירון - מאפיית הבוקר,312,outgoing
2026-02-17 09:15:56,1700-700700,בנק הפועלים,409,outgoing
2026-02-17 18:47:44,052-6665544,,34,incoming
2026-02-18 11:07:54,054-3334455,אורי - הזמנה לאירוע,0,missed
2026-02-18 18:06:53,053-1112233,טלי - קפה תל אביב,76,outgoing
2026-02-18 18:23:34,050-1234567,ירון - מאפיית הבוקר,312,outgoing
2026-02-18 19:23:13,054-7654321,מירי - חלב טרי,110,outgoing
