timestamp,direction,contact_name,number,category,message
2026-05-01 21:40,incoming,טלי קפה,053-1112233,supplier,פולים חדשים אתיופיה הגיעו! רוצה לטעום?
2026-05-02 09:05,incoming,פועלים,5500,bank,"מאזן יומי: 18,420 ש״ח"
2026-05-02 11:03,outgoing,אטומי קפה,,us,"בוקר טוב שירה, השם הוא 'יסוד אתיופי' - בא ממחוז יירגצ'פה"
2026-05-04 14:54,incoming,מקס,2025,bank,עסקה חדשה: 89 ש״ח - מאפיית הבוקר
2026-05-05 16:02,incoming,מירי חלב,054-7654321,supplier,המשלוח של מחר מתאחר בשעה - תקלה במחלבה
2026-05-07 21:48,incoming,מס הכנסה,4954,gov,"החזר מס בסך 1,240 ש״ח אושר"
2026-05-10 12:02,incoming,מירי חלב,054-7654321,supplier,המשלוח של מחר מתאחר בשעה - תקלה במחלבה
2026-05-10 13:09,incoming,חברת חשמל,103,utility,חשבון חדש לתשלום: 4499.34 ש״ח עד 15.11
2026-05-10 19:29,incoming,מס הכנסה,4954,gov,"החזר מס בסך 1,240 ש״ח אושר"
2026-05-12 10:22,incoming,יעל,053-6667788,customer,"תודה על האירוע אמש, היה מושלם!"
2026-05-14 16:29,incoming,ישראל פוסט,171,delivery,חבילה ממתינה לאיסוף - סניף בן יהודה
2026-05-15 09:41,incoming,חברת חשמל,103,utility,חשבון חדש לתשלום: 4499.34 ש״ח עד 15.11
2026-05-16 16:29,outgoing,אטומי קפה,,us,"נועה, יש לנו אצות וסלט קינואה. בלי גלוטן וטבעוני"
2026-05-22 08:28,incoming,Cardcom,מערכת,marketing,"סוף יום: 87 עסקאות, סה״כ 6,420 ש״ח"
2026-05-22 13:37,incoming,ירון מאפייה,050-1234567,supplier,"לא הצלחתי להגיע עכשיו, אביא כפול מחר"
2026-05-24 07:38,incoming,חברת חשמל,103,utility,חשבון חדש לתשלום: 4499.34 ש״ח עד 15.11
2026-05-24 17:42,incoming,מקס,2025,bank,עסקה חדשה: 89 ש״ח - מאפיית הבוקר
2026-05-27 13:20,incoming,עיריה,106,gov,ארנונה לתקופה 03-04/2026 - 1940 ש״ח
2026-05-27 19:45,incoming,ישראל פוסט,171,delivery,חבילה ממתינה לאיסוף - סניף בן יהודה
