id,name,phone,email,first_visit,last_visit,visit_count,total_spent,favorite_item,notes,vip_status
C0093,טל רוזן,058-6568772,michal448@outlook.com,2024-03-26,2025-10-03,14,560,קרואסון חמאה,,none
C0094,יעל קליין,055-5928582,danny336@hotmail.com,2024-10-15,2025-04-21,14,686,סמוזי פירות יער,,none
C0095,שני כהנא,050-2258981,yossi373@gmail.com,2024-06-28,2025-06-22,258,10062,לאטה,,platinum
C0096,מיכל דהן,053-8448065,maya141@yahoo.com,2022-05-18,2023-09-13,3,93,פוקצ'ה,,none
C0097,רוני אזולאי,055-5791184,shai205@gmail.com,2022-02-23,2023-03-11,4,284,אייס לאטה,משלם תמיד בביט,none
C0098,הילה ישראלי,058-3920762,omer230@gmail.com,2023-10-17,2025-08-30,28,1148,לאטה,,none
C0099,אורון קליין,050-6189037,nir737@icloud.com,2022-02-23,2024-03-03,78,4446,עוגת גזר,,silver
C0100,איתי חזן,052-3164813,shira852@gmail.com,2025-08-08,2025-08-26,4,300,שוקו חם,,none
C0101,תומר חזן,055-9950276,,2023-04-07,2024-03-26,5,285,שייק בננה,,none
C0102,תומר טוויל,052-7989166,ori510@hotmail.com,2025-07-02,2025-12-03,3,189,שוקו חם,,none
C0103,רוני ישראלי,052-6244264,roni752@yahoo.com,2024-04-11,2025-02-09,8,416,לאטה,,none
C0104,ענבר אורן,054-8015136,rinat834@yahoo.com,2022-08-06,2024-05-20,20,620,מאצ'ה לאטה,,none
C0105,איתן חדד,052-6920597,,2024-10-17,2025-07-07,4,188,סמוזי פירות יער,,none
C0106,אביגיל שפירא,055-4265774,tal76@outlook.com,2022-01-17,2022-08-25,4,188,טוסט גבינות,,none
C0107,אפרת ישראלי,052-4339637,yossi513@gmail.com,2025-06-05,2025-07-05,81,3483,מאצ'ה לאטה,מגיע/ה עם כלב,silver
C0108,אביבית פלד,053-9511333,tomer502@hotmail.com,2022-11-02,2025-09-22,2,122,אמריקנו כפול,,none
C0109,עינת ישראלי,055-4817541,maya492@gmail.com,2022-08-13,2024-12-13,15,945,סמוזי פירות יער,,none
C0110,ליבי ישראלי,052-7884990,hila943@icloud.com,2023-05-12,2023-06-13,5,210,אספרסו,,none
C0111,דור אלבז,053-5435261,noa981@walla.co.il,2025-02-22,2025-08-07,181,9231,שוקו חם,,gold
C0112,אייל ענבר,053-5828304,,2023-08-15,2025-08-05,28,1596,קרואסון חמאה,,none
C0113,רוית ענבר,052-5548852,nir279@gmail.com,2022-10-27,2024-06-12,41,2583,תה נענע,מבקש/ת חם במיוחד,silver
C0114,ארנון טוויל,050-3649811,shai489@walla.co.il,2024-12-23,2025-04-17,2,104,שוקו חם,,none
C0115,אביגיל חיון,052-1609681,yossi807@icloud.com,2022-05-02,2022-11-01,13,312,אספרסו,צמחוני,none
C0116,אייל ברק,055-8852085,david339@gmail.com,2025-05-19,2025-06-15,15,795,פוקצ'ה,,none
C0117,נטע אטיאס,055-6501696,,2022-01-29,2023-12-20,24,1488,אייס לאטה,,none
C0118,רועי חזן,050-5388133,nir242@gmail.com,2023-05-24,2023-05-30,61,2623,עוגת שוקולד,,silver
C0119,שני מלכה,052-9022561,,2024-10-26,2025-10-21,46,1840,סמוזי פירות יער,,silver
C0120,אורה כהנא,055-8495187,michal80@gmail.com,2025-01-29,2025-09-27,5,350,אייס אמריקנו,לא אוהב/ת קפה חזק,none
C0121,תומר חזן,050-8607331,,2024-12-01,2025-07-15,27,729,שייק בננה,,none
C0122,אריאל פלד,058-2069713,shira958@gmail.com,2025-10-09,2025-11-17,18,,סלט קינואה,,none
C0123,אורן נחום,058-3231198,michal122@gmail.com,2023-01-04,2023-10-08,79,3634,קרואסון חמאה,,silver
C0124,גיא בן דוד,052-5624635,,2022-01-08,2022-02-23,20,1480,פלט וויט,,none
C0125,רפי נחום,050-5105957,yossi450@walla.co.il,2025-06-13,2025-12-26,1,24,אספרסו,,none
C0126,שחר ורדי,054-6041569,tomer972@gmail.com,2023-04-25,2025-08-07,5,155,עוגת גזר,,none
C0127,נועה יצחקי,052-4780654,nir148@icloud.com,2025-08-10,2025-11-15,5,230,טוסט גבינות,,none
C0128,אורה אורן,050-9986473,noa53@hotmail.com,2024-12-21,2025-02-27,4,108,סמוזי פירות יער,,none
C0129,יוסי אדרי,058-2968239,shai937@walla.co.il,2025-04-18,2025-08-07,178,3916,אייס אמריקנו,,gold
C0130,רוני אורן,054-8818250,,2023-10-21,2025-12-23,18,738,סלט קינואה,,none
C0131,ספיר כץ,058-8005797,noa338@walla.co.il,2023-10-03,2024-11-29,1,38,תה נענע,,none
C0132,חן חיון,055-9192588,,2023-11-23,2024-08-12,4,288,פוקצ'ה,,none
C0133,דור מזרחי,054-7261268,,2022-06-02,2022-09-09,1,67,סמוזי פירות יער,,none
C0134,אמה קליין,050-9425786,dor441@gmail.com,2022-02-02,2022-02-15,5,340,לאטה,לא אוהב/ת קפה חזק,none
C0135,גיל הלוי,058-4789255,danny670@gmail.com,2024-12-14,2025-04-22,3,141,טוסט גבינות,ללא גלוטן,none
C0136,נועה ויס,050-9861040,yael217@icloud.com,2022-01-20,2025-12-29,8,344,קפוצ'ינו,,none
C0137,הדס ברק,050-6021033,,2025-09-09,2025-09-13,16,1120,ביסקוטי,ללא גלוטן,none
C0138,שירלי סלע,055-7655572,roni31@hotmail.com,2022-10-14,2023-03-23,5,180,עוגת שוקולד,,none
C0139,גילי יצחקי,050-5495824,,2025-02-06,2025-08-17,79,3160,פוקצ'ה,,silver
C0140,אופק לביא,052-8230636,tomer525@outlook.com,2023-10-11,2024-10-14,8,560,טוסט גבינות,טבעוני,none
C0141,משה דניאל,052-9742683,,2023-10-27,2024-11-24,83,5644,לאטה,,silver
C0142,טל הראל,052-9318184,noa469@gmail.com,2024-10-06,2024-12-19,11,572,מאצ'ה לאטה,ללא גלוטן,none
C0143,עינת עמר,054-6354241,nir649@icloud.com,2023-11-17,2025-01-30,10,660,תה נענע,,none
C0144,שירלי הראל,058-8744735,noa449@hotmail.com,2024-03-15,2025-03-23,252,8316,קפוצ'ינו,,platinum
C0145,יסמין קליין,054-7724393,nir429@gmail.com,2022-10-13,2024-06-24,14,,קרואסון שוקולד,,none
C0146,רון ענבר,053-8221845,,2023-05-24,2025-03-27,245,15925,סנדוויץ' אבוקדו,לא אוהב/ת קפה חזק,platinum
C0147,הראל כץ,050-2947320,alon146@yahoo.com,2024-03-12,2025-06-29,5,115,עוגת שוקולד,,none
C0148,דור צדוק,053-2834801,rinat953@walla.co.il,2023-12-15,2025-04-15,1,24,טוסט גבינות,,none
C0149,אופיר אורן,052-8542617,yossi5@walla.co.il,2024-05-23,2025-09-08,18,882,קפוצ'ינו,מגיע/ה עם כלב,none
C0150,עמרי אטיאס,055-7520284,maya117@yahoo.com,2024-01-20,2024-12-18,20,1060,עוגת שוקולד,,none
C0151,שלמה ליבוביץ,052-9570219,hila142@outlook.com,2023-09-02,2025-05-23,5,205,סלט קינואה,,none
C0152,אריאל חדד,052-7441514,omer669@icloud.com,2024-09-29,2025-02-23,11,484,סלט קינואה,,none
C0153,נטע עמר,052-8672579,shai563@gmail.com,2024-09-27,2024-12-21,1,24,תה ירוק,,none
C0154,הדס סלע,050-8545256,danny450@gmail.com,2022-03-27,2024-09-15,12,756,תה נענע,,none
C0155,אופק גרין,050-6885707,hila552@gmail.com,2023-12-20,2025-12-16,26,1872,שוקו חם,,none
C0156,כרמל הראל,052-3453557,yael780@outlook.com,2024-11-19,2025-11-01,116,7308,שייק בננה,,gold
C0157,רותם נחום,054-9188027,ori890@gmail.com,2024-02-08,2025-05-15,26,1014,עוגת שוקולד,,none
C0158,תמר פישר,052-9142618,dor781@gmail.com,2024-12-30,2025-07-21,2,150,עוגת שוקולד,שואל/ת על אירועים,none
C0159,עידו חדד,053-2565985,amit85@yahoo.com,2024-06-22,2025-10-02,56,3528,פוקצ'ה,,silver
C0160,ארנון מלכה,052-9714828,ori9@yahoo.com,2025-07-05,2025-09-21,2,70,עוגת גזר,,none
C0161,רועי ביטון,052-3396676,,2023-04-14,2024-05-10,1,41,סמוזי פירות יער,,none
C0162,הראל יצחקי,058-7442986,guy323@gmail.com,2023-03-13,2024-01-17,4,112,תה נענע,מגיע/ה רק בבוקר,none
C0163,אסתר כהנא,052-9302838,yael512@gmail.com,2022-02-24,2025-11-03,12,828,אמריקנו כפול,,none
C0164,דניאלה דהן,050-2133008,,2024-03-03,2025-10-06,4,208,קרואסון חמאה,אומן,none
C0165,רותם ליבוביץ,053-2325761,noa998@gmail.com,2024-10-23,2025-11-19,19,1064,קרואסון חמאה,,none
C0166,אייל כהנא,058-3946849,,2024-06-14,2025-02-13,1,61,אמריקנו כפול,,none
C0167,טל יצחקי,050-6620552,amit537@gmail.com,2024-12-07,2025-08-28,11,429,שייק בננה,,none
C0168,טל פלד,058-2934976,omer3@gmail.com,2024-11-12,2025-05-15,1,71,אמריקנו כפול,,none
C0169,דוד צדוק,053-5165165,alon328@hotmail.com,2024-01-16,2025-02-11,35,2345,שייק בננה,,none
C0170,מאי רוזן,053-6491198,,2025-10-10,2025-10-16,112,2912,קרואסון שוקולד,,gold
C0171,אורן ברק,058-5112546,,2023-09-15,2025-10-11,13,689,אמריקנו כפול,,none
C0172,עמרי יצחקי,054-9254874,arnon729@hotmail.com,2025-07-26,2025-07-28,6,168,סנדוויץ' אבוקדו,אלרגיה לאגוזים,none
C0173,לי כץ,054-3192921,amit872@yahoo.com,2024-07-27,2024-10-21,9,,קרואסון חמאה,,none
C0174,דניאלה עמר,054-6268604,tomer367@walla.co.il,2023-07-11,2024-03-06,48,1344,עוגת שוקולד,,silver
C0175,מאי אברהם,055-1821255,amit840@gmail.com,2022-11-19,2024-08-03,5,335,טוסט גבינות,משלם תמיד בביט,none
C0176,רון פלד,058-2409947,amit940@gmail.com,2022-07-28,2023-05-10,300,9000,פוקצ'ה,אלרגיה לאגוזים,platinum
C0177,ליאור אברהם,050-7421134,rinat363@walla.co.il,2023-11-11,2024-03-15,37,1813,תה ירוק,,none
C0178,שרה אוחיון,050-5693862,guy205@walla.co.il,2022-03-12,2025-08-20,5,240,טוסט גבינות,,none
C0179,עומר פישר,,ori918@hotmail.com,2024-01-06,2025-05-11,21,966,קרואסון שוקולד,לא אוהב/ת קפה חזק,none
C0180,תומר פרידמן,054-6952633,rinat181@walla.co.il,2023-05-23,2025-03-25,2,72,קרואסון שוקולד,,none
C0181,בן כהנא,052-4671004,,2023-12-22,2025-07-25,10,330,מאצ'ה לאטה,,none
C0182,איתי טל,053-2216878,dor406@gmail.com,2022-12-30,2024-10-22,6,186,מאצ'ה לאטה,,none
C0183,תומר מור,058-5941179,,2024-06-13,2025-10-24,11,814,שייק בננה,,none
C0184,אסתר ברק,052-6818508,rinat652@gmail.com,2022-03-08,2023-03-15,16,848,ביסקוטי,,none
C0185,שרה כהן,,guy993@gmail.com,2023-06-28,2024-01-28,2,56,סלט קינואה,,none
C0186,רוית שפירא,053-5380995,danny351@gmail.com,2024-02-08,2024-05-21,24,1752,אייס לאטה,,none
C0187,אריאל אברהם,050-2698824,noa420@hotmail.com,2023-11-24,2025-07-24,211,6752,שוקו חם,,platinum
C0188,רון פרץ,058-9058573,,2024-03-15,2025-10-21,5,245,שוקו חם,תמיד ליד החלון,none
C0189,רועי אזולאי,054-7197531,,2023-09-24,2025-12-05,4,252,תה ירוק,משלם תמיד בביט,none
C0190,שגיא ברק,054-9767475,tomer704@icloud.com,2022-05-07,2023-03-12,8,560,תה נענע,,none
C0191,טל אברהם,054-3900427,rinat996@walla.co.il,2024-03-19,2024-04-23,24,1464,לאטה,,none
C0192,אדם אברהם,054-7666510,amit533@icloud.com,2025-10-31,2025-11-27,2,136,אמריקנו כפול,,none
C0193,מאי נחום,053-7893590,rotem498@icloud.com,2022-11-03,2023-09-02,24,672,לאטה,ללא גלוטן,none
C0194,מיכל מלכה,053-5703436,nir702@gmail.com,2023-11-10,2025-10-17,91,2093,תה נענע,,silver
C0195,אייל נוי,054-9127895,michal841@gmail.com,2024-06-26,2025-05-20,29,986,אייס לאטה,,none
C0196,אייל ליבוביץ,050-5185752,,2024-11-03,2025-05-28,2,68,אייס אמריקנו,מגיע/ה עם כלב,none
C0197,אילה פלד,054-6867997,amit767@gmail.com,2024-10-31,2025-05-22,1,60,קרואסון חמאה,,none
C0198,תומר ברק,,dor10@icloud.com,2023-03-15,2025-08-08,2,126,פוקצ'ה,,none
C0199,משה כהן,053-9734854,yossi599@gmail.com,2023-04-04,2023-12-18,66,2904,טוסט גבינות,טבעוני,silver
C0200,טל ישראלי,058-6012883,,2022-08-10,2025-04-22,1,39,תה נענע,,none
